"occ","y4_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28_1","lf02_28_2","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34_1","lf02_34_2","lf02_35_1","lf02_35_2"
13,"4521-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4521-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4521-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4521-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4522-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4522-001",2,1,3,3,3,0,,2,,,2,,,1,5,1,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4522-001",3,1,8,3,3,0,,2,,,2,,,1,7,1,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"4522-001",4,1,6,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"4522-001",5,1,4,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"4522-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4522-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4522-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4522-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4522-001",10,1,20,19,14,0,12,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,5,1,0,,,,,
11,"4522-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4522-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4522-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4522-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4522-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4522-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4534-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4534-001",2,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4534-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4534-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4534-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4534-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4534-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4534-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4534-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4534-001",10,1,0,23,4,0,12,2,,,2,,,2,,,1,10,31000,2,,,1,6,8000,1,1,8000,1,,"LF01",,1,2,1.60000002384186,0,,,,,
11,"4534-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4534-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4534-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4534-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4534-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4534-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4535-001",1,1,4,4,1,0,,2,,,2,,,2,,,1,3,1100000,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"4535-001",2,1,4,4,4,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4535-001",3,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"4535-001",4,1,5,5,5,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"4535-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4535-001",6,1,0,2,2,0,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"4535-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4535-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4535-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4535-001",10,1,12,16,15,0,12,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,3,0,,,,,
11,"4535-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4535-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4535-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4535-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4535-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4535-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4537-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4537-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4537-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4537-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4537-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4537-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4537-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4537-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4537-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4537-001",10,1,0,13,8,0,12,2,,,1,1,1,2,,,2,,,2,,,1,2,4000,2,,,,,,,1,3,1.5,0,,,,,
11,"4537-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4537-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4537-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4537-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4537-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4537-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4538-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4539-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4540-001",1,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"4540-001",2,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4540-001",3,1,4,4,4,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"4540-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4540-001",5,1,2,8,5,0,0,2,,,1,3,1,1,3,1,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"4540-001",6,1,0,6,3,0,2,2,,,1,1,1,1,3,1,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"4540-001",7,1,6,9,7,0,1,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
8,"4540-001",8,1,3,5,5,0,0,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
9,"4540-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4540-001",10,1,35,135,10,0,135,2,,,2,,,2,,,1,117,234000,2,,,1,3,15000,2,,,,,,,1,5,1,0,,,,,
11,"4540-001",11,1,2,7,3,0,5,2,,,2,,,2,,,1,4,4000,2,,,2,,,2,,,,,,,2,,,,,,,,
12,"4540-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4540-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4540-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4540-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4540-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4541-001",1,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"4541-001",2,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4541-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4541-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4541-001",5,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"4541-001",6,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"4541-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4541-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4541-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4541-001",10,1,2,15,7,0,10,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,8,1,0,,,,,
11,"4541-001",11,1,1,6,3,0,5,1,2,10000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,3,1.20000004768372,0,,,,,
12,"4541-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4541-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4541-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4541-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4541-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4543-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4543-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4543-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4543-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4543-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4543-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4543-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4543-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4543-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4543-001",10,1,20,12,14,0,0,2,,,2,,,2,,,1,4,28000,2,,,2,,,2,,,,,,,1,8,1,0,,,,,
11,"4543-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4543-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4543-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4543-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4543-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4543-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4553-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4554-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4555-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4556-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4557-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4559-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4560-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4564-001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4572-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4572-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4572-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4572-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4572-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4572-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4572-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4572-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4572-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4572-001",10,1,2,20,19,0,16,1,1,3000,2,,,1,1,1,1,14,28000,2,,,2,,,2,,,,,,,1,4,1,0,,,,,
11,"4572-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4572-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4572-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4572-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4572-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4572-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4573-001",1,1,2,3,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"4573-001",2,1,6,7,7,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4573-001",3,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"4573-001",4,1,4,10,8,0,,2,,,2,,,2,,,1,2,300000,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"4573-001",5,1,2,5,4,0,3,2,,,2,,,1,1,3,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"4573-001",6,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"4573-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4573-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4573-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4573-001",10,1,25,46,11,0,21,2,,,2,,,2,,,1,15,35000,2,,,1,8,4000,1,6,24000,1,2,"LF01",,1,6,1.60000002384186,0,,,,,
11,"4573-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4573-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4573-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4573-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4573-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4573-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4574-001",1,1,3,1,1,0,,1,1,245000,2,,,2,,,2,,,2,,,2,,,1,1,210000,1,,"LF01",,1,1,200,0,,,,,
2,"4574-001",2,1,3,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4574-001",3,1,5,5,5,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
4,"4574-001",4,1,0,5,4,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,130000,1,,"LF02",,2,,,,,,,,
5,"4574-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4574-001",6,1,0,1,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
7,"4574-001",7,1,2,10,7,0,8,2,,,2,,,1,2,1,2,,,2,,,2,,,2,,,,,,,1,1,35,0,,,,,
8,"4574-001",8,1,5,11,1,0,6,2,,,2,,,1,5,1,1,4,12000,2,,,2,,,2,,,,,,,1,1,35,0,,,,,
9,"4574-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4574-001",10,1,13,86,30,0,55,2,,,1,3,1,2,,,1,20,60000,1,1,10000,1,20,20000,2,,,,,,,1,15,1,0,,,,,
11,"4574-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4574-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4574-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4574-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4574-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4574-001",16,1,3,4,2,,2,2,,,2,,,2,,,2,,,1,2,1000,2,,,2,,,,,,,2,,,,,,,,
1,"4575-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4575-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4575-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4575-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4575-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4575-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4575-001",7,1,15,15,3,0,0,2,,,2,,,2,,,2,,,2,,,2,,,1,12,360000,1,,"LF01",,2,,,,,,,,
8,"4575-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4575-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4575-001",10,1,0,8,3,0,0,2,,,2,,,2,,,2,,,2,,,1,2,14000,2,,,,,,,1,3,2,0,,,,,
11,"4575-001",11,1,0,4,4,0,0,1,4,32000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
12,"4575-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4575-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4575-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4575-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4575-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4576-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4576-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4576-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4576-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4576-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4576-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4576-001",7,1,3,5,4,0,1,2,,,2,,,2,,,2,,,2,,,1,1,15000,2,,,,,,,2,,,,,,,,
8,"4576-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4576-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4576-001",10,1,28,36,15,0,18,2,,,2,,,2,,,1,20,50000,2,,,2,,,2,,,,,,,1,1,2,0,,,,,
11,"4576-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4576-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4576-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4576-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4576-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4576-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4577-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4577-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4577-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4577-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4577-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4577-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4577-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4577-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4577-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4577-001",10,1,22,26,13,0,21,2,,,2,,,2,,,1,5,15000,2,,,1,2,2000,1,6,48000,1,,"LF01","LF02",2,,,,,,,,
11,"4577-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4577-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4577-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4577-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4577-001",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4577-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4578-001",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4578-001",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4578-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4578-001",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4578-001",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4578-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4578-001",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4578-001",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4578-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4578-001",10,1,2,27,15,0,10,2,,,2,,,2,,,1,11,20000,2,,,1,1,14000,2,,,,,,,2,,,,,,,,
11,"4578-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4578-001",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4578-001",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4578-001",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4578-001",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4578-001",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4579-001",1,1,3,3,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
2,"4579-001",2,1,3,3,5,0,,2,,,1,2,1,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
3,"4579-001",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4579-001",4,1,3,3,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
5,"4579-001",5,1,0,3,3,0,3,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
6,"4579-001",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4579-001",7,1,20,20,7,0,4,2,,,2,,,2,,,2,,,2,,,1,12,480000,2,,,,,,,1,1,8,0,,,,,
8,"4579-001",8,1,7,9,6,0,2,2,,,2,,,2,,,2,,,2,,,2,,,1,3,120000,1,,"LF01",,2,,,,,,,,
9,"4579-001",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4579-001",10,1,12,30,23,0,10,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,7,2.5,0,,,,,
11,"4579-001",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
